selection_key,current_th,current_en,source_th,comparison_status,impact_on_selection,review_note
act_body_manual_high,แบ่งน้ำหนักต่อครั้งไม่เกิน 10 กก. ใช้รถเข็นเมื่อขนไกลกว่า 10 เมตร ให้ 2 คนช่วยยกเมื่อหนักเกิน 20 กก. และหลีกเลี่ยงการบิดตัวขณะยก,"Limit each load to no more than 10 kg, use a cart for distances over 10 m, ask for two-person lifting when over 20 kg, and avoid twisting while lifting.",แบ่งน้ำหนักต่อครั้งไม่เกิน 10 กก. | ใช้รถเข็นเมื่อขนไกลกว่า 10 เมตร ให้ 2 คนช่วยยกเมื่อหนักเกิน 20 กก. | หลีกเลี่ยงการบิดตัวขณะยก,source_aligned_summary,none_key_unchanged,Verify final atomic split and English meaning during review.
act_body_manual_medium,แบ่งถุงหรือภาชนะให้หนักไม่เกิน 15 กก. ถือของให้ชิดลำตัว ใช้สองมือช่วยยก และหลีกเลี่ยงการยกเหนือระดับไหล่,"Split each bag or container to no more than 15 kg, keep the load close to the body, lift with both hands, and avoid lifting above shoulder height.",แบ่งถุงหรือภาชนะให้หนักไม่เกิน 15 กก. | ถือของให้ชิดลำตัว | ใช้สองมือช่วยยก | หลีกเลี่ยงการยกเหนือระดับไหล่,source_aligned_summary,none_key_unchanged,Verify final atomic split and English meaning during review.
act_body_manual_very_high,ใช้รถเข็น รถลาก หรืออุปกรณ์ช่วยยก หลีกเลี่ยงการยกเกิน 20 กก. คนเดียว ถ้าหนัก 20-25 กก. ให้ช่วยกันยก และถ้าเกิน 25 กก. ให้ใช้อุปกรณ์ช่วย,"Use a cart, trolley, or lifting aid; avoid lifting more than 20 kg alone, team-lift 20-25 kg loads, and use lifting equipment above 25 kg.",ใช้รถเข็น รถลาก หรืออุปกรณ์ช่วยยก | หลีกเลี่ยงการยกเกิน 20 กก. คนเดียว | ถ้าหนัก 20-25 กก. ให้ช่วยกันยก | ถ้าเกิน 25 กก. ให้ใช้อุปกรณ์ช่วย,source_aligned_summary,none_key_unchanged,Verify final atomic split and English meaning during review.
act_body_neck_high,ปรับพื้นที่ทำงานให้สูงขึ้น ยืดเหยียดคอทุก 15-20 นาที ใช้อุปกรณ์ช่วยหยิบจับ และหลีกเลี่ยงการบิดหรือเอียงคอ,"Raise the work area, stretch the neck every 15-20 minutes, use reach tools, and avoid twisting or tilting the neck.",ปรับพื้นที่ทำงานให้สูงขึ้น ยืดเหยียดคอทุก 15-20 นาที | ใช้อุปกรณ์ช่วยหยิบจับ | หลีกเลี่ยงการบิดหรือเอียงคอ,source_aligned_summary,none_key_unchanged,Verify final atomic split and English meaning during review.
act_body_neck_medium,ยกถาดหรือวัสดุให้อยู่ระดับเอว เปลี่ยนท่าคอทุก 30 นาที และหลีกเลี่ยงการก้มมองพื้นต่อเนื่อง,"Raise trays or materials to waist height, change neck posture every 30 minutes, and avoid looking down continuously.",ยกถาดหรือวัสดุให้อยู่ระดับเอว | เปลี่ยนท่าคอทุก 30 นาที | หลีกเลี่ยงการก้มมองพื้นต่อเนื่อง,source_aligned_summary,none_key_unchanged,Verify final atomic split and English meaning during review.
act_body_neck_very_high,ปรับวิธีทำงานทันที ยกวัสดุขึ้นระดับเอว ใช้เครื่องมือด้ามยาว และเปลี่ยนอิริยาบถทุก 10-15 นาที,"Change the work method immediately: lift materials to waist level, use long-handled tools, and change posture every 10-15 minutes.",ปรับวิธีทำงานทันที | ยกวัสดุขึ้นระดับเอว | ใช้เครื่องมือด้ามยาว | เปลี่ยนอิริยาบถทุก 10-15 นาที,source_aligned_summary,none_key_unchanged,Verify final atomic split and English meaning during review.
act_body_trunk_high,หลีกเลี่ยงการก้มต่อเนื่องเกิน 10-15 นาที ยืดเหยียดทุก 15 นาที หันหน้าเข้าหาวัสดุก่อนยก และหมุนเท้าแทนการบิดเอว,"Avoid bending for more than 10-15 minutes, stretch every 15 minutes, face the load before lifting, and turn with the feet instead of twisting the waist.",หลีกเลี่ยงการก้มต่อเนื่องเกิน 10-15 นาที ยืดเหยียดทุก 15 นาที | หันหน้าเข้าหาวัสดุก่อนยก | หมุนเท้าแทนการบิดเอว,source_aligned_summary,none_key_unchanged,Verify final atomic split and English meaning during review.
act_body_trunk_medium,วางวัสดุให้อยู่ใกล้ตัวไม่เกิน 40 ซม. ยกงานจากพื้น 50-70 ซม. และลุกเปลี่ยนท่าทุก 20-30 นาที,"Keep materials within 40 cm, raise work from the ground by 50-70 cm, and stand up to change posture every 20-30 minutes.",วางวัสดุให้อยู่ใกล้ตัวไม่เกิน 40 ซม. | ยกงานจากพื้น 50-70 ซม. | ลุกเปลี่ยนท่าทุก 20-30 นาที,source_aligned_summary,none_key_unchanged,Verify final atomic split and English meaning during review.
act_body_trunk_very_high,ใช้รถเข็นหรืออุปกรณ์ช่วยยก หลีกเลี่ยงการยกเกิน 20 กก. คนเดียว ปรับงานให้อยู่ระดับเข่าถึงเอว และลดการขนย้ายที่ไม่จำเป็น,"Use carts or lifting aids, avoid lifting more than 20 kg alone, raise the work area to knee-to-waist height, and reduce unnecessary carries.",ใช้รถเข็นหรืออุปกรณ์ช่วยยก | หลีกเลี่ยงการยกเกิน 20 กก. คนเดียว | ปรับงานให้อยู่ระดับเข่าถึงเอว | ลดการขนย้ายที่ไม่จำเป็น,source_aligned_summary,none_key_unchanged,Verify final atomic split and English meaning during review.
act_body_wrists_high,พักมือและข้อมือทุก 15-20 นาที สลับงานทุก 20-30 นาที ใช้ด้ามจับที่เหมาะสม และลดแรงกำขณะจับอุปกรณ์,"Rest hands and wrists every 15-20 minutes, rotate tasks every 20-30 minutes, use suitable handles, and reduce gripping force.",พักมือและข้อมือทุก 15-20 นาที | สลับงานทุก 20-30 นาที | ใช้ด้ามจับที่เหมาะสม | ลดแรงกำขณะจับอุปกรณ์,source_aligned_summary,none_key_unchanged,Verify final atomic split and English meaning during review.
act_body_wrists_medium,ใช้ด้ามจับที่พอดีมือ คลายมือเป็นระยะ พักข้อมือทุก 30 นาที และยืดเหยียดนิ้วมือกับข้อมือระหว่างพัก,"Use handles that fit the hand, relax the grip regularly, rest wrists every 30 minutes, and stretch fingers and wrists during breaks.",ใช้ด้ามจับที่พอดีมือ | คลายมือเป็นระยะ | พักข้อมือทุก 30 นาที และยืดเหยียดนิ้วมือกับข้อมือระหว่างพัก,source_aligned_summary,none_key_unchanged,Verify final atomic split and English meaning during review.
act_body_wrists_very_high,พักข้อมือ 3-5 นาทีทุก 15 นาที เปลี่ยนเครื่องมือให้พอดีกับมือ และใช้อุปกรณ์ช่วยลดแรงกำหรือแรงบีบที่ไม่จำเป็น,"Rest wrists 3-5 minutes every 15 minutes, change to better-fitting tools, and use aids that reduce unnecessary gripping or squeezing force.",พักข้อมือ 3-5 นาทีทุก 15 นาที | เปลี่ยนเครื่องมือให้พอดีกับมือ | ใช้อุปกรณ์ช่วยลดแรงกำหรือแรงบีบที่ไม่จำเป็น,source_aligned_summary,none_key_unchanged,Verify final atomic split and English meaning during review.
act_check_wheels,ตรวจสอบล้อรถเข็นว่าฝืดหรือไม่,Check cart wheels for friction,ตรวจสอบล้อรถเข็นว่าฝืดหรือไม่,source_aligned_summary,none_key_unchanged,Verify final atomic split and English meaning during review.
act_extra_fert_cart,ใช้รถเข็นบรรทุกกระสอบปุ๋ยแทนการแบก,Use cart instead of carrying sacks,ใช้รถเข็นบรรทุกกระสอบปุ๋ยแทนการแบก,source_aligned_summary,none_key_unchanged,Verify final atomic split and English meaning during review.
act_extra_prune_ladder,ใช้บันไดที่มั่นคงแทนการเอื้อมสุดแขน,Use stable ladder instead of reaching,ใช้บันไดที่มั่นคงแทนการเอื้อมสุดแขน,source_aligned_summary,none_key_unchanged,Verify final atomic split and English meaning during review.
act_extra_prune_tool,ใช้กรรไกรตัดกิ่งด้ามยาว,Use long-handled pruning shears,ใช้กรรไกรตัดกิ่งด้ามยาว,source_aligned_summary,none_key_unchanged,Verify final atomic split and English meaning during review.
act_extra_spray_strap,ปรับสายสะพายเครื่องพ่นยาให้กระชับ,Adjust sprayer straps tightly,ปรับสายสะพายเครื่องพ่นยาให้กระชับ,source_aligned_summary,none_key_unchanged,Verify final atomic split and English meaning during review.
act_extra_spray_switch,สลับข้างสะพายถังเพื่อลดการกดทับไหล่เดียว,Switch shoulders to balance load,สลับข้างสะพายถังเพื่อลดการกดทับไหล่เดียว,source_aligned_summary,none_key_unchanged,Verify final atomic split and English meaning during review.
act_fert_ref_high,ลดน้ำหนักปุ๋ยต่อครั้ง ใช้สายพานหรือรถเข็น จัดพัก 10 นาทีทุกชั่วโมง และหลีกเลี่ยงการทำงานบนพื้นที่ลาดชันต่อเนื่อง,"Reduce fertilizer weight per trip, use a conveyor or cart, rest 10 minutes every hour, and avoid continuous work on slopes.",ลดน้ำหนักปุ๋ยต่อครั้ง | ใช้สายพานหรือรถเข็น | จัดพัก 10 นาทีทุกชั่วโมง | หลีกเลี่ยงการทำงานบนพื้นที่ลาดชันต่อเนื่อง,source_aligned_summary,none_key_unchanged,Verify final atomic split and English meaning during review.
act_fert_ref_low,ใช้รถเข็นถ้าต้องเคลื่อนย้ายปุ๋ยไกล และหมั่นเปลี่ยนท่าทางทุก 30 นาที,"Use a cart when fertilizer must be moved far, and change posture every 30 minutes.",ใช้รถเข็นถ้าต้องเคลื่อนย้ายปุ๋ยไกล และหมั่นเปลี่ยนท่าทางทุก 30 นาที,source_aligned_summary,none_key_unchanged,Verify final atomic split and English meaning during review.
act_fert_ref_medium,แบ่งปุ๋ยใส่ภาชนะเล็ก ใช้รถเข็น หลีกเลี่ยงการบิดตัวขณะยก และใส่รองเท้ากันลื่น,"Split fertilizer into smaller containers, use a cart, avoid twisting while lifting, and wear non-slip footwear.",แบ่งปุ๋ยใส่ภาชนะเล็ก | ใช้รถเข็น | หลีกเลี่ยงการบิดตัวขณะยก และใส่รองเท้ากันลื่น,source_aligned_summary,none_key_unchanged,Verify final atomic split and English meaning during review.
act_fert_split_load,แบ่งปุ๋ยเป็นน้ำหนักน้อยลงในแต่ละรอบ,Split fertilizer into smaller loads per round,แบ่งปุ๋ยเป็นน้ำหนักน้อยลงในแต่ละรอบ,source_aligned_summary,none_key_unchanged,Verify final atomic split and English meaning during review.
act_harvest_empty_often,เทผลผลิตออกจากตะกร้าให้บ่อยขึ้น เพื่อลดน้ำหนักสะสม,Empty the basket more often to reduce accumulated carrying load,ลดการก้มโดยปรับความสูงตะกร้า,source_revision_proposed,none_key_unchanged,Replace unsupported or indirect legacy wording with the employer-provided source wording.
act_harvest_move_closer,ขยับเข้าใกล้ต้นก่อนเก็บ เพื่อลดการเอื้อมไกล,Move closer to the plant before picking instead of overreaching,ขยับเข้าใกล้ต้นก่อนเก็บ เพื่อลดการเอื้อมไกล,source_aligned_summary,none_key_unchanged,Verify final atomic split and English meaning during review.
act_harvest_ref_high,ถ้าเก็บผลจากกิ่งสูงต้องใช้บันได หลีกเลี่ยงการปีน หยุดพัก 10 นาทีทุก 20 นาที และถ้ามีอาการปวดมือหรือหลังให้หยุดงานทันที,"Use a ladder for high branches, avoid climbing, rest 10 minutes every 20 minutes, and stop immediately if hand or back pain occurs.",ถ้าเก็บผลจากกิ่งสูงต้องใช้บันได | หลีกเลี่ยงการปีน | หยุดพัก 10 นาทีทุก 20 นาที | ถ้ามีอาการปวดมือหรือหลังให้หยุดงานทันที,source_aligned_summary,none_key_unchanged,Verify final atomic split and English meaning during review.
act_harvest_ref_low,เปลี่ยนท่า ยืน-นั่งยอง ทุก 20 นาที ใช้ถุงมือนุ่ม และตั้งตะกร้าบนแท่นสูง,"Change posture between standing and squatting every 20 minutes, use soft gloves, and place baskets on a raised stand.",เปลี่ยนท่า ยืน-นั่งยอง ทุก 20 นาที | ใช้ถุงมือนุ่ม และตั้งตะกร้าบนแท่นสูง,source_aligned_summary,none_key_unchanged,Verify final atomic split and English meaning during review.
act_harvest_ref_medium,ใช้ถุงมือลดแรงกด ลดการก้มโดยปรับความสูงตะกร้า พัก 5 นาทีทุก 30 นาที และสังเกตอาการชาที่มือ,"Use padded gloves, reduce bending by raising the basket, rest 5 minutes every 30 minutes, and watch for hand numbness.",ใช้ถุงมือลดแรงกด | ลดการก้มโดยปรับความสูงตะกร้า | พัก 5 นาทีทุก 30 นาที | สังเกตอาการชาที่มือ,source_aligned_summary,none_key_unchanged,Verify final atomic split and English meaning during review.
act_iso_floor_level,จัดพื้นทางเดินให้เรียบ แห้ง ไม่ลื่น และไม่มีสิ่งกีดขวาง,"Keep floors firm, level, dry, and clear of obstacles",จัดพื้นทางเดินให้เรียบ แห้ง ไม่ลื่น และไม่มีสิ่งกีดขวาง,source_aligned_summary,none_key_unchanged,Verify final atomic split and English meaning during review.
act_iso_improve_grip,ใช้ภาชนะหรือด้ามจับที่จับได้ถนัดและมั่นคง,Use containers or handles that are easy to grip securely,ใช้ภาชนะหรือด้ามจับที่จับได้ถนัดและมั่นคง,source_aligned_summary,none_key_unchanged,Verify final atomic split and English meaning during review.
act_iso_job_rotation,สลับงานเพื่อลดการใช้กล้ามเนื้อกลุ่มเดิมต่อเนื่องนานเกินไป,Rotate tasks so the same muscles are not used continuously,สลับงานเพื่อลดการใช้กล้ามเนื้อกลุ่มเดิมต่อเนื่องนานเกินไป,source_aligned_summary,none_key_unchanged,Verify final atomic split and English meaning during review.
act_iso_keep_load_close,วางของให้ชิดลำตัวก่อนยกหรือขนย้าย,Keep the load close to the body before lifting or carrying,วางของให้ชิดลำตัวก่อนยกหรือขนย้าย,source_aligned_summary,none_key_unchanged,Verify final atomic split and English meaning during review.
act_iso_lift_height,จัดของให้อยู่ระดับประมาณข้อนิ้วถึงข้อศอกก่อนยก,Place the load around knuckle-to-elbow height before lifting,จัดของให้อยู่ระดับประมาณข้อนิ้วถึงข้อศอกก่อนยก,source_aligned_summary,none_key_unchanged,Verify final atomic split and English meaning during review.
act_iso_neutral_reach,ทำงานใกล้ลำตัว ลดการเอื้อมไกลหรือขยับข้อไปสุดช่วง,Keep hands near the body and avoid extreme reach or joint positions,ทำงานใกล้ลำตัว | ลดการเอื้อมไกลหรือขยับข้อไปสุดช่วง,source_aligned_summary,none_key_unchanged,Verify final atomic split and English meaning during review.
act_iso_plan_recovery,วางแผนพักสั้น ๆ หรือสลับงานเมื่อต้องทำซ้ำหลายรอบ,Plan short recovery breaks or rotate tasks during repeated work,วางแผนพักสั้น ๆ หรือสลับงานเมื่อต้องทำซ้ำหลายรอบ,source_aligned_summary,none_key_unchanged,Verify final atomic split and English meaning during review.
act_iso_push_handle_height,ปรับด้ามจับให้อยู่ใกล้ระดับข้อศอก เพื่อใช้แรงได้มั่นคง,Adjust handles near elbow height so the body can push steadily,ปรับด้ามจับให้อยู่ใกล้ระดับข้อศอก เพื่อใช้แรงได้มั่นคง,source_aligned_summary,none_key_unchanged,Verify final atomic split and English meaning during review.
act_iso_push_not_pull,ถ้าทำได้ให้ดันโดยใช้น้ำหนักตัว แทนการลากด้วยแรงแขน,Push with body weight when possible instead of pulling with the arms,ถ้าทำได้ให้ดันโดยใช้น้ำหนักตัว แทนการลากด้วยแรงแขน,source_aligned_summary,none_key_unchanged,Verify final atomic split and English meaning during review.
act_iso_push_smooth,ออกแรงดันหรือลากอย่างต่อเนื่อง ไม่กระชาก,Push or pull smoothly and avoid sudden jerking force,ออกแรงดันหรือลากอย่างต่อเนื่อง ไม่กระชาก,source_aligned_summary,none_key_unchanged,Verify final atomic split and English meaning during review.
act_iso_reduce_frequency,ลดความถี่ในการยก หรือแบ่งงานเป็นรอบสั้นลง,Reduce lifting frequency or split the task into shorter rounds,ลดความถี่ในการยก หรือแบ่งงานเป็นรอบสั้นลง,source_aligned_summary,none_key_unchanged,Verify final atomic split and English meaning during review.
act_iso_reduce_push_distance,ลดระยะทางดัน/ลาก หรือแบ่งเส้นทางเป็นช่วงสั้นลง,Shorten push/pull distance or divide the route into shorter sections,ลดระยะทางดัน/ลาก หรือแบ่งเส้นทางเป็นช่วงสั้นลง,source_aligned_summary,none_key_unchanged,Verify final atomic split and English meaning during review.
act_iso_tool_handle_fit,ใช้ด้ามจับที่ไม่ลื่น มีขนาดพอดีมือ และลดแรงบีบจับ,"Use padded, non-slip tool handles sized for a secure grip",ใช้ด้ามจับที่ไม่ลื่น มีขนาดพอดีมือ | ลดแรงบีบจับ,source_aligned_summary,none_key_unchanged,Verify final atomic split and English meaning during review.
act_pesticide_ref_high,ถ้าถังพ่นหนักเกินน้ำหนักที่แนะนำ ให้ใช้อุปกรณ์ล้อเข็นหรือหัวฉีดแบบต่อท่อยาว และหมุนเวียนงานกับเพื่อนทุก 30 นาที,"If the sprayer tank exceeds the recommended weight, use a wheeled aid or long-hose nozzle and rotate with a coworker every 30 minutes.",ถ้าถังพ่นหนักเกินน้ำหนักที่แนะนำ ให้ใช้อุปกรณ์ล้อเข็นหรือหัวฉีดแบบต่อท่อยาว | หมุนเวียนงานกับเพื่อนทุก 30 นาที,source_aligned_summary,none_key_unchanged,Verify final atomic split and English meaning during review.
act_pesticide_ref_low,ปรับสายสะพายเครื่องพ่นให้พอดี ใช้หัวฉีดน้ำหนักเบา และพัก 5 นาทีทุกชั่วโมง,"Fit sprayer straps properly, use a lightweight nozzle, and rest 5 minutes every hour.",ปรับสายสะพายเครื่องพ่นให้พอดี | ใช้หัวฉีดน้ำหนักเบา | พัก 5 นาทีทุกชั่วโมง,source_aligned_summary,none_key_unchanged,Verify final atomic split and English meaning during review.
act_pesticide_ref_medium,ลดระยะเวลาพ่นต่อเนื่องไม่เกิน 1 ชั่วโมง แล้วพัก 15 นาที สลับข้างที่ถือท่อพ่น และใส่รองเท้ากันลื่น,"Limit continuous spraying to 1 hour, rest 15 minutes, switch the hand/side holding the wand, and wear non-slip footwear.",ลดระยะเวลาพ่นต่อเนื่องไม่เกิน 1 ชั่วโมง แล้วพัก 15 นาที | สลับข้างที่ถือท่อพ่น และใส่รองเท้ากันลื่น,source_aligned_summary,none_key_unchanged,Verify final atomic split and English meaning during review.
act_pruning_ref_high,เปลี่ยนมาใช้เครื่องตัดกิ่งแบบกลไกช่วย ถ้าใช้กรรไกรต้องพัก 10 นาทีทุก 20 นาที ทำงานเป็นทีมเพื่อหมุนเวียน และหลีกเลี่ยงการตัดในท่าบิดตัว,"Use mechanical pruning tools when possible. If shears are used, rest 10 minutes every 20 minutes, rotate as a team, and avoid twisting while cutting.",เปลี่ยนมาใช้เครื่องตัดกิ่งแบบกลไกช่วย | ถ้าใช้กรรไกรต้องพัก 10 นาทีทุก 20 นาที | ทำงานเป็นทีมเพื่อหมุนเวียน | หลีกเลี่ยงการตัดในท่าบิดตัว,source_aligned_summary,none_key_unchanged,Verify final atomic split and English meaning during review.
act_pruning_ref_low,ใช้กรรไกรคมและน้ำหนักเบา สลับแขนทุก 10-15 นาที และอย่ายกแขนเหนือศีรษะนาน,"Use sharp lightweight shears, switch arms every 10-15 minutes, and avoid keeping arms above the head for long periods.",ใช้กรรไกรคมและน้ำหนักเบา | สลับแขนทุก 10-15 นาที และอย่ายกแขนเหนือศีรษะนาน,source_aligned_summary,none_key_unchanged,Verify final atomic split and English meaning during review.
act_pruning_ref_medium,ใช้กรรไกรแบบก้านยาวเพื่อลดการเอื้อม ใช้บันไดสำหรับกิ่งสูง สลับแขน และพัก 5 นาทีทุก 30 นาที,"Use long-handled shears to reduce reaching, use a ladder for high branches, switch arms, and rest 5 minutes every 30 minutes.",ใช้กรรไกรแบบก้านยาวเพื่อลดการเอื้อม | ใช้บันไดสำหรับกิ่งสูง | สลับแขน | พัก 5 นาทีทุก 30 นาที,source_aligned_summary,none_key_unchanged,Verify final atomic split and English meaning during review.
act_reduce_arm_raise,ลดการยกแขนสูงเหนือไหล่เป็นเวลานาน,Reduce prolonged arm raising,ลดการยกแขนสูงเหนือไหล่เป็นเวลานาน,source_aligned_summary,none_key_unchanged,Verify final atomic split and English meaning during review.
act_reduce_load_tool,ลดน้ำหนักสิ่งของ หรือใช้เครื่องทุ่นแรง,Reduce load or use assist tools,ลดน้ำหนักสิ่งของ หรือใช้เครื่องทุ่นแรง,source_aligned_summary,none_key_unchanged,Verify final atomic split and English meaning during review.
act_reduce_weight,ลดน้ำหนักที่ยก,Reduce load weight,ลดน้ำหนักที่ยก,source_aligned_summary,none_key_unchanged,Verify final atomic split and English meaning during review.
act_ref_weight_high,ลดน้ำหนักที่ยกทันที: ชาย 20-45 ปี ไม่เกิน 13 กก.; ชายอายุต่ำกว่า 20 หรือมากกว่า 45 ปี ไม่เกิน 10 กก.; หญิง 20-45 ปี ไม่เกิน 10 กก.; หญิงอายุต่ำกว่า 20 หรือมากกว่า 45 ปี ไม่เกิน 8 กก. ถ้าเกินนี้ให้ใช้อุปกรณ์ช่วย,Reduce lifting weight immediately: men 20-45 years up to 13 kg; men under 20 or over 45 up to 10 kg; women 20-45 up to 10 kg; women under 20 or over 45 up to 8 kg. Use handling aids if heavier.,ลดน้ำหนักที่ยกทันที: ชาย 20-45 ปี ไม่เกิน 13 กก. | ชายอายุต่ำกว่า 20 หรือมากกว่า 45 ปี ไม่เกิน 10 กก. | หญิง 20-45 ปี ไม่เกิน 10 กก. | หญิงอายุต่ำกว่า 20 หรือมากกว่า 45 ปี ไม่เกิน 8 กก. | ถ้าเกินนี้ให้ใช้อุปกรณ์ช่วย,source_aligned_summary,none_key_unchanged,Verify final atomic split and English meaning during review.
act_ref_weight_low,ตรวจสอบน้ำหนักที่ยก: ชาย 20-45 ปี ไม่เกิน 25 กก.; ชายอายุต่ำกว่า 20 หรือมากกว่า 45 ปี ไม่เกิน 20 กก.; หญิง 20-45 ปี ไม่เกิน 20 กก.; หญิงอายุต่ำกว่า 20 หรือมากกว่า 45 ปี ไม่เกิน 15 กก.,Check lifting weight: men 20-45 years up to 25 kg; men under 20 or over 45 up to 20 kg; women 20-45 up to 20 kg; women under 20 or over 45 up to 15 kg.,ตรวจสอบน้ำหนักที่ยก: ชาย 20-45 ปี ไม่เกิน 25 กก. | ชายอายุต่ำกว่า 20 หรือมากกว่า 45 ปี ไม่เกิน 20 กก. | หญิง 20-45 ปี ไม่เกิน 20 กก. | หญิงอายุต่ำกว่า 20 หรือมากกว่า 45 ปี ไม่เกิน 15 กก.,source_aligned_summary,none_key_unchanged,Verify final atomic split and English meaning during review.
act_ref_weight_medium,ปรับน้ำหนักที่ยก: ชาย 20-45 ปี ไม่เกิน 18 กก.; ชายอายุต่ำกว่า 20 หรือมากกว่า 45 ปี ไม่เกิน 15 กก.; หญิง 20-45 ปี ไม่เกิน 15 กก.; หญิงอายุต่ำกว่า 20 หรือมากกว่า 45 ปี ไม่เกิน 11 กก.,Reduce lifting weight: men 20-45 years up to 18 kg; men under 20 or over 45 up to 15 kg; women 20-45 up to 15 kg; women under 20 or over 45 up to 11 kg.,ปรับน้ำหนักที่ยก: ชาย 20-45 ปี ไม่เกิน 18 กก. | ชายอายุต่ำกว่า 20 หรือมากกว่า 45 ปี ไม่เกิน 15 กก. | หญิง 20-45 ปี ไม่เกิน 15 กก. | หญิงอายุต่ำกว่า 20 หรือมากกว่า 45 ปี ไม่เกิน 11 กก.,source_aligned_summary,none_key_unchanged,Verify final atomic split and English meaning during review.
