recommendation_id,selection_key,record_type,thai_source_text,english_draft,translation_style,numbers_match,units_match,timing_match,urgency_match,negation_match,meaning_review,review_comment,approval_status,approved_by,approved_at,translation_version,source_id,source_page
act_body_arms_medium.03,act_body_arms_medium,recommendation,พักไหล่ทุก 30 นาที และให้งานอยู่ต่ำกว่าระดับไหล่,Rest the shoulders every 30 minutes and keep the work below shoulder height.,direct,pass,pass,pending_human_review,pending_human_review,pending_human_review,pending_human_review,,pending,,,1,body_map_recommendations,4
act_body_arms_very_high.01,act_body_arms_very_high,recommendation,จำกัดงานเหนือศีรษะเป็นรอบสั้น,Limit overhead work to short rounds.,direct,pass,not_applicable,pending_human_review,pending_human_review,pending_human_review,pending_human_review,,pending,,,1,body_map_recommendations,4-5
act_body_arms_very_high.02,act_body_arms_very_high,recommendation,ใช้เครื่องมือด้ามยาวที่น้ำหนักเบา,Use lighter long-handled tools.,direct,pass,not_applicable,pending_human_review,pending_human_review,pending_human_review,pending_human_review,,pending,,,1,body_map_recommendations,4-5
act_body_arms_very_high.03,act_body_arms_very_high,recommendation,สลับไปทำงานที่ใช้แขนต่ำกว่าระดับไหล่,Rotate to work below shoulder level.,direct,pass,not_applicable,pending_human_review,pending_human_review,pending_human_review,pending_human_review,,pending,,,1,body_map_recommendations,4-5
act_body_legs_high.01,act_body_legs_high,recommendation,ไม่นั่งยองหรือคุกเข่าต่อเนื่องเกิน 15 นาที,Do not squat or kneel continuously for more than 15 minutes.,direct,pass,pass,pending_human_review,pending_human_review,pending_human_review,pending_human_review,,pending,,,1,body_map_recommendations,6-7
act_body_legs_high.02,act_body_legs_high,recommendation,ลุกเดิน 3-5 นาทีทุก 15 นาที,Walk 3-5 minutes every 15 minutes.,direct,pass,pass,pending_human_review,pending_human_review,pending_human_review,pending_human_review,,pending,,,1,body_map_recommendations,6-7
act_body_legs_high.03,act_body_legs_high,recommendation,ใช้เก้าอี้เตี้ยหรือแผ่นรองเข่า,Use a low stool or knee pad.,direct,pass,not_applicable,pending_human_review,pending_human_review,pending_human_review,pending_human_review,,pending,,,1,body_map_recommendations,6-7
act_body_legs_medium.01,act_body_legs_medium,recommendation,ลุกยืนหรือเดินทุก 20 นาที,Stand up or walk every 20 minutes.,direct,pass,pass,pending_human_review,pending_human_review,pending_human_review,pending_human_review,,pending,,,1,body_map_recommendations,6
act_body_legs_medium.02,act_body_legs_medium,recommendation,ใช้เบาะรองนั่งหรือแผ่นรองเข่า,Use a squatting cushion or knee pad.,direct,pass,not_applicable,pending_human_review,pending_human_review,pending_human_review,pending_human_review,,pending,,,1,body_map_recommendations,6
act_body_legs_medium.03,act_body_legs_medium,recommendation,สลับระหว่างนั่ง ยืน และเดิน,"Alternate between sitting, standing, and walking.",direct,pass,not_applicable,pending_human_review,pending_human_review,pending_human_review,pending_human_review,,pending,,,1,body_map_recommendations,6
act_body_legs_very_high.01,act_body_legs_very_high,recommendation,หลีกเลี่ยงการนั่งยองหรือคุกเข่าเกิน 10 นาที,Avoid squatting or kneeling for more than 10 minutes.,direct,pass,pass,pending_human_review,pending_human_review,pending_human_review,pending_human_review,,pending,,,1,body_map_recommendations,7
act_body_legs_very_high.02,act_body_legs_very_high,recommendation,พักทุก 10-15 นาที,Rest every 10-15 minutes.,direct,pass,pass,pending_human_review,pending_human_review,pending_human_review,pending_human_review,,pending,,,1,body_map_recommendations,7
act_body_legs_very_high.03,act_body_legs_very_high,recommendation,ใช้อุปกรณ์ช่วยทำงานระดับพื้น,Use floor-work aids.,direct,pass,not_applicable,pending_human_review,pending_human_review,pending_human_review,pending_human_review,,pending,,,1,body_map_recommendations,7
act_body_legs_very_high.04,act_body_legs_very_high,recommendation,ลดเวลาทำงานใกล้พื้น,Reduce time working near the ground.,direct,pass,not_applicable,pending_human_review,pending_human_review,pending_human_review,pending_human_review,,pending,,,1,body_map_recommendations,7
act_body_manual_high.01,act_body_manual_high,recommendation,แบ่งน้ำหนักต่อครั้งไม่เกิน 10 กก.,Limit each load to no more than 10 kg.,direct,pass,pass,pending_human_review,pending_human_review,pending_human_review,pending_human_review,,pending,,,1,body_map_recommendations,7-8
act_body_manual_high.02,act_body_manual_high,recommendation,ใช้รถเข็นเมื่อขนไกลกว่า 10 เมตร ให้ 2 คนช่วยยกเมื่อหนักเกิน 20 กก.,"Use a cart for distances over 10 m, and use 2-person lifting for loads over 20 kg.",direct,pass,pass,pending_human_review,pending_human_review,pending_human_review,pending_human_review,,pending,,,1,body_map_recommendations,7-8
act_body_manual_high.03,act_body_manual_high,recommendation,หลีกเลี่ยงการบิดตัวขณะยก,Avoid twisting while lifting.,direct,pass,not_applicable,pending_human_review,pending_human_review,pending_human_review,pending_human_review,,pending,,,1,body_map_recommendations,7-8
act_body_manual_medium.01,act_body_manual_medium,recommendation,แบ่งถุงหรือภาชนะให้หนักไม่เกิน 15 กก.,Divide materials into bags or containers weighing no more than 15 kg each.,direct,pass,pass,pending_human_review,pending_human_review,pending_human_review,pending_human_review,,pending,,,1,body_map_recommendations,7
act_body_manual_medium.02,act_body_manual_medium,recommendation,ถือของให้ชิดลำตัว,Keep the load close to the body.,direct,pass,not_applicable,pending_human_review,pending_human_review,pending_human_review,pending_human_review,,pending,,,1,body_map_recommendations,7
act_body_manual_medium.03,act_body_manual_medium,recommendation,ใช้สองมือช่วยยก,Lift with both hands.,direct,pass,not_applicable,pending_human_review,pending_human_review,pending_human_review,pending_human_review,,pending,,,1,body_map_recommendations,7
act_body_manual_medium.04,act_body_manual_medium,recommendation,หลีกเลี่ยงการยกเหนือระดับไหล่,Avoid lifting above shoulder height.,direct,pass,not_applicable,pending_human_review,pending_human_review,pending_human_review,pending_human_review,,pending,,,1,body_map_recommendations,7
act_body_manual_very_high.01,act_body_manual_very_high,recommendation,ใช้รถเข็น รถลาก หรืออุปกรณ์ช่วยยก,"Use a cart, trolley, or lifting aid.",direct,pass,not_applicable,pending_human_review,pending_human_review,pending_human_review,pending_human_review,,pending,,,1,body_map_recommendations,8
act_body_manual_very_high.02,act_body_manual_very_high,recommendation,หลีกเลี่ยงการยกเกิน 20 กก. คนเดียว,Avoid lifting more than 20 kg alone.,direct,pass,pass,pending_human_review,pending_human_review,pending_human_review,pending_human_review,,pending,,,1,body_map_recommendations,8
act_body_manual_very_high.03,act_body_manual_very_high,recommendation,ถ้าหนัก 20-25 กก. ให้ช่วยกันยก,Use at least two people to lift loads of 20-25 kg.,direct,pass,pass,pending_human_review,pending_human_review,pending_human_review,pending_human_review,,pending,,,1,body_map_recommendations,8
act_body_manual_very_high.04,act_body_manual_very_high,recommendation,ถ้าเกิน 25 กก. ให้ใช้อุปกรณ์ช่วย,Use lifting equipment for loads over 25 kg.,direct,pass,pass,pending_human_review,pending_human_review,pending_human_review,pending_human_review,,pending,,,1,body_map_recommendations,8
act_body_neck_high.01,act_body_neck_high,recommendation,ปรับพื้นที่ทำงานให้สูงขึ้น ยืดเหยียดคอทุก 15-20 นาที,Raise the work area and stretch the neck every 15-20 minutes.,direct,pass,pass,pending_human_review,pending_human_review,pending_human_review,pending_human_review,,pending,,,1,body_map_recommendations,2
act_body_neck_high.02,act_body_neck_high,recommendation,ใช้อุปกรณ์ช่วยหยิบจับ,Use a reaching aid.,direct,pass,not_applicable,pending_human_review,pending_human_review,pending_human_review,pending_human_review,,pending,,,1,body_map_recommendations,2
act_body_neck_high.03,act_body_neck_high,recommendation,หลีกเลี่ยงการบิดหรือเอียงคอ,Avoid twisting or tilting the neck.,direct,pass,not_applicable,pending_human_review,pending_human_review,pending_human_review,pending_human_review,,pending,,,1,body_map_recommendations,2
act_body_neck_medium.01,act_body_neck_medium,recommendation,ยกถาดหรือวัสดุให้อยู่ระดับเอว,Raise trays or materials to waist height.,direct,pass,not_applicable,pending_human_review,pending_human_review,pending_human_review,pending_human_review,,pending,,,1,body_map_recommendations,1
act_body_neck_medium.02,act_body_neck_medium,recommendation,เปลี่ยนท่าคอทุก 30 นาที,Change neck posture every 30 minutes.,direct,pass,pass,pending_human_review,pending_human_review,pending_human_review,pending_human_review,,pending,,,1,body_map_recommendations,1
act_body_neck_medium.03,act_body_neck_medium,recommendation,หลีกเลี่ยงการก้มมองพื้นต่อเนื่อง,Avoid looking down continuously.,direct,pass,not_applicable,pending_human_review,pending_human_review,pending_human_review,pending_human_review,,pending,,,1,body_map_recommendations,1
act_body_neck_very_high.01,act_body_neck_very_high,recommendation,ปรับวิธีทำงานทันที,Change the work method immediately.,direct,pass,not_applicable,pending_human_review,pending_human_review,pending_human_review,pending_human_review,,pending,,,1,body_map_recommendations,2
act_body_neck_very_high.02,act_body_neck_very_high,recommendation,ยกวัสดุขึ้นระดับเอว,Raise materials to waist height.,direct,pass,not_applicable,pending_human_review,pending_human_review,pending_human_review,pending_human_review,,pending,,,1,body_map_recommendations,2
act_body_neck_very_high.03,act_body_neck_very_high,recommendation,ใช้เครื่องมือด้ามยาว,Use long-handled tools.,direct,pass,not_applicable,pending_human_review,pending_human_review,pending_human_review,pending_human_review,,pending,,,1,body_map_recommendations,2
act_body_neck_very_high.04,act_body_neck_very_high,recommendation,เปลี่ยนอิริยาบถทุก 10-15 นาที,Change posture every 10-15 minutes.,direct,pass,pass,pending_human_review,pending_human_review,pending_human_review,pending_human_review,,pending,,,1,body_map_recommendations,2
act_body_trunk_high.01,act_body_trunk_high,recommendation,หลีกเลี่ยงการก้มต่อเนื่องเกิน 10-15 นาที ยืดเหยียดทุก 15 นาที,Avoid continuous bending for more than 10-15 minutes and stretch every 15 minutes.,direct,pass,pass,pending_human_review,pending_human_review,pending_human_review,pending_human_review,,pending,,,1,body_map_recommendations,3
act_body_trunk_high.02,act_body_trunk_high,recommendation,หันหน้าเข้าหาวัสดุก่อนยก,Face the material before lifting.,direct,pass,not_applicable,pending_human_review,pending_human_review,pending_human_review,pending_human_review,,pending,,,1,body_map_recommendations,3
act_body_trunk_high.03,act_body_trunk_high,recommendation,หมุนเท้าแทนการบิดเอว,Turn with the feet instead of twisting the waist.,direct,pass,not_applicable,pending_human_review,pending_human_review,pending_human_review,pending_human_review,,pending,,,1,body_map_recommendations,3
act_body_trunk_medium.01,act_body_trunk_medium,recommendation,วางวัสดุให้อยู่ใกล้ตัวไม่เกิน 40 ซม.,Keep materials within 40 cm.,direct,pass,pass,pending_human_review,pending_human_review,pending_human_review,pending_human_review,,pending,,,1,body_map_recommendations,3
act_body_trunk_medium.02,act_body_trunk_medium,recommendation,ยกงานจากพื้น 50-70 ซม.,Raise work from the ground by 50-70 cm.,direct,pass,pass,pending_human_review,pending_human_review,pending_human_review,pending_human_review,,pending,,,1,body_map_recommendations,3
act_body_trunk_medium.03,act_body_trunk_medium,recommendation,ลุกเปลี่ยนท่าทุก 20-30 นาที,Stand up to change posture every 20-30 minutes.,direct,pass,pass,pending_human_review,pending_human_review,pending_human_review,pending_human_review,,pending,,,1,body_map_recommendations,3
act_body_trunk_very_high.01,act_body_trunk_very_high,recommendation,ใช้รถเข็นหรืออุปกรณ์ช่วยยก,Use carts or lifting aids.,direct,pass,not_applicable,pending_human_review,pending_human_review,pending_human_review,pending_human_review,,pending,,,1,body_map_recommendations,3-4
act_body_trunk_very_high.02,act_body_trunk_very_high,recommendation,หลีกเลี่ยงการยกเกิน 20 กก. คนเดียว,Avoid lifting more than 20 kg alone.,direct,pass,pass,pending_human_review,pending_human_review,pending_human_review,pending_human_review,,pending,,,1,body_map_recommendations,3-4
act_body_trunk_very_high.03,act_body_trunk_very_high,recommendation,ปรับงานให้อยู่ระดับเข่าถึงเอว,Raise the work area to knee-to-waist height.,direct,pass,not_applicable,pending_human_review,pending_human_review,pending_human_review,pending_human_review,,pending,,,1,body_map_recommendations,3-4
act_body_trunk_very_high.04,act_body_trunk_very_high,recommendation,ลดการขนย้ายที่ไม่จำเป็น,Reduce unnecessary carries.,direct,pass,not_applicable,pending_human_review,pending_human_review,pending_human_review,pending_human_review,,pending,,,1,body_map_recommendations,3-4
act_body_wrists_high.01,act_body_wrists_high,recommendation,พักมือและข้อมือทุก 15-20 นาที,Rest the hands and wrists every 15-20 minutes.,direct,pass,pass,pending_human_review,pending_human_review,pending_human_review,pending_human_review,,pending,,,1,body_map_recommendations,5-6
act_body_wrists_high.02,act_body_wrists_high,recommendation,สลับงานทุก 20-30 นาที,Rotate tasks every 20-30 minutes.,direct,pass,pass,pending_human_review,pending_human_review,pending_human_review,pending_human_review,,pending,,,1,body_map_recommendations,5-6
act_body_wrists_high.03,act_body_wrists_high,recommendation,ใช้ด้ามจับที่เหมาะสม,Use suitable handles.,direct,pass,not_applicable,pending_human_review,pending_human_review,pending_human_review,pending_human_review,,pending,,,1,body_map_recommendations,5-6
act_body_wrists_high.04,act_body_wrists_high,recommendation,ลดแรงกำขณะจับอุปกรณ์,Reduce gripping force when holding equipment.,direct,pass,not_applicable,pending_human_review,pending_human_review,pending_human_review,pending_human_review,,pending,,,1,body_map_recommendations,5-6
act_body_wrists_medium.01,act_body_wrists_medium,recommendation,ใช้ด้ามจับที่พอดีมือ,Use handles that fit the hand.,direct,pass,not_applicable,pending_human_review,pending_human_review,pending_human_review,pending_human_review,,pending,,,1,body_map_recommendations,5
act_body_wrists_medium.02,act_body_wrists_medium,recommendation,คลายมือเป็นระยะ,Relax the grip regularly.,direct,pass,not_applicable,pending_human_review,pending_human_review,pending_human_review,pending_human_review,,pending,,,1,body_map_recommendations,5
act_body_wrists_medium.03,act_body_wrists_medium,recommendation,พักข้อมือทุก 30 นาที และยืดเหยียดนิ้วมือกับข้อมือระหว่างพัก,Rest the wrists every 30 minutes and stretch the fingers and wrists during breaks.,direct,pass,pass,pending_human_review,pending_human_review,pending_human_review,pending_human_review,,pending,,,1,body_map_recommendations,5
act_body_wrists_very_high.01,act_body_wrists_very_high,recommendation,พักข้อมือ 3-5 นาทีทุก 15 นาที,Rest wrists 3-5 minutes every 15 minutes.,direct,pass,pass,pending_human_review,pending_human_review,pending_human_review,pending_human_review,,pending,,,1,body_map_recommendations,6
act_body_wrists_very_high.02,act_body_wrists_very_high,recommendation,เปลี่ยนเครื่องมือให้พอดีกับมือ,Change to better-fitting tools.,direct,pass,not_applicable,pending_human_review,pending_human_review,pending_human_review,pending_human_review,,pending,,,1,body_map_recommendations,6
act_body_wrists_very_high.03,act_body_wrists_very_high,recommendation,ใช้อุปกรณ์ช่วยลดแรงกำหรือแรงบีบที่ไม่จำเป็น,Use aids that reduce unnecessary gripping or squeezing force.,direct,pass,not_applicable,pending_human_review,pending_human_review,pending_human_review,pending_human_review,,pending,,,1,body_map_recommendations,6
act_check_wheels.01,act_check_wheels,recommendation,ตรวจสอบล้อรถเข็นว่าฝืดหรือไม่,Check cart wheels for friction.,direct,pass,not_applicable,pending_human_review,pending_human_review,pending_human_review,pending_human_review,,pending,,,1,ilo_ergonomic_checkpoints_agriculture,37
act_extra_fert_cart.01,act_extra_fert_cart,recommendation,ใช้รถเข็นบรรทุกกระสอบปุ๋ยแทนการแบก,Use a cart to carry fertilizer sacks instead of carrying them on the body.,direct,pass,not_applicable,pending_human_review,pending_human_review,pending_human_review,pending_human_review,,pending,,,1,app_recommendations_v3,2
act_extra_prune_ladder.01,act_extra_prune_ladder,recommendation,ใช้บันไดที่มั่นคงแทนการเอื้อมสุดแขน,Use a stable ladder instead of reaching with the arm fully extended.,direct,pass,not_applicable,pending_human_review,pending_human_review,pending_human_review,pending_human_review,,pending,,,1,app_recommendations_v3,2
act_extra_prune_tool.01,act_extra_prune_tool,recommendation,ใช้กรรไกรตัดกิ่งด้ามยาว,Use long-handled pruning shears.,direct,pass,not_applicable,pending_human_review,pending_human_review,pending_human_review,pending_human_review,,pending,,,1,app_recommendations_v3,2
act_extra_spray_strap.01,act_extra_spray_strap,recommendation,ปรับสายสะพายเครื่องพ่นยาให้กระชับ,Adjust the sprayer straps so they fit securely.,direct,pass,not_applicable,pending_human_review,pending_human_review,pending_human_review,pending_human_review,,pending,,,1,app_recommendations_v3,2
act_extra_spray_switch.01,act_extra_spray_switch,recommendation,สลับข้างสะพายถังเพื่อลดการกดทับไหล่เดียว,Alternate the shoulder used to carry the tank to reduce pressure on one shoulder.,direct,pass,not_applicable,pending_human_review,pending_human_review,pending_human_review,pending_human_review,,pending,,,1,app_recommendations_v3,2
act_fert_ref_high.01,act_fert_ref_high,recommendation,ลดน้ำหนักปุ๋ยต่อครั้ง,Reduce fertilizer weight per trip.,direct,pass,not_applicable,pending_human_review,pending_human_review,pending_human_review,pending_human_review,,pending,,,1,app_recommendations_v3,2
act_fert_ref_high.02,act_fert_ref_high,recommendation,ใช้สายพานหรือรถเข็น,Use a conveyor or cart.,direct,pass,not_applicable,pending_human_review,pending_human_review,pending_human_review,pending_human_review,,pending,,,1,app_recommendations_v3,2
act_fert_ref_high.03,act_fert_ref_high,recommendation,จัดพัก 10 นาทีทุกชั่วโมง,Rest 10 minutes every hour.,direct,pass,pass,pending_human_review,pending_human_review,pending_human_review,pending_human_review,,pending,,,1,app_recommendations_v3,2
act_fert_ref_high.04,act_fert_ref_high,recommendation,หลีกเลี่ยงการทำงานบนพื้นที่ลาดชันต่อเนื่อง,Avoid continuous work on slopes.,direct,pass,not_applicable,pending_human_review,pending_human_review,pending_human_review,pending_human_review,,pending,,,1,app_recommendations_v3,2
act_fert_ref_low.01,act_fert_ref_low,recommendation,ใช้รถเข็นถ้าต้องเคลื่อนย้ายปุ๋ยไกล และหมั่นเปลี่ยนท่าทางทุก 30 นาที,"Use a cart when fertilizer must be moved over a long distance, and change posture every 30 minutes.",direct,pass,pass,pending_human_review,pending_human_review,pending_human_review,pending_human_review,,pending,,,1,app_recommendations_v3,2
act_fert_ref_medium.01,act_fert_ref_medium,recommendation,แบ่งปุ๋ยใส่ภาชนะเล็ก,Split fertilizer into smaller containers.,direct,pass,not_applicable,pending_human_review,pending_human_review,pending_human_review,pending_human_review,,pending,,,1,app_recommendations_v3,2
act_fert_ref_medium.02,act_fert_ref_medium,recommendation,ใช้รถเข็น,Use a cart.,direct,pass,not_applicable,pending_human_review,pending_human_review,pending_human_review,pending_human_review,,pending,,,1,app_recommendations_v3,2
act_fert_ref_medium.03,act_fert_ref_medium,recommendation,หลีกเลี่ยงการบิดตัวขณะยก และใส่รองเท้ากันลื่น,Avoid twisting while lifting and wear non-slip footwear.,direct,pass,not_applicable,pending_human_review,pending_human_review,pending_human_review,pending_human_review,,pending,,,1,app_recommendations_v3,2
act_fert_split_load.01,act_fert_split_load,recommendation,แบ่งปุ๋ยเป็นน้ำหนักน้อยลงในแต่ละรอบ,Split fertilizer into smaller loads per round.,direct,pass,not_applicable,pending_human_review,pending_human_review,pending_human_review,pending_human_review,,pending,,,1,app_recommendations_v3,2
act_harvest_empty_often.01,act_harvest_empty_often,recommendation,ลดการก้มโดยปรับความสูงตะกร้า,Raise the basket to reduce bending.,direct,pass,not_applicable,pending_human_review,pending_human_review,pending_human_review,pending_human_review,,pending,,,1,app_recommendations_v3,2
act_harvest_move_closer.01,act_harvest_move_closer,recommendation,ขยับเข้าใกล้ต้นก่อนเก็บ เพื่อลดการเอื้อมไกล,Move closer to the plant before picking instead of overreaching.,direct,pass,not_applicable,pending_human_review,pending_human_review,pending_human_review,pending_human_review,,pending,,,1,body_map_recommendations,4
act_harvest_ref_high.01,act_harvest_ref_high,recommendation,ถ้าเก็บผลจากกิ่งสูงต้องใช้บันได,Use a ladder for high branches.,direct,pass,not_applicable,pending_human_review,pending_human_review,pending_human_review,pending_human_review,,pending,,,1,app_recommendations_v3,2
act_harvest_ref_high.02,act_harvest_ref_high,recommendation,หลีกเลี่ยงการปีน,Avoid climbing.,direct,pass,not_applicable,pending_human_review,pending_human_review,pending_human_review,pending_human_review,,pending,,,1,app_recommendations_v3,2
act_harvest_ref_high.03,act_harvest_ref_high,recommendation,หยุดพัก 10 นาทีทุก 20 นาที,Rest 10 minutes every 20 minutes.,direct,pass,pass,pending_human_review,pending_human_review,pending_human_review,pending_human_review,,pending,,,1,app_recommendations_v3,2
act_harvest_ref_high.04,act_harvest_ref_high,recommendation,ถ้ามีอาการปวดมือหรือหลังให้หยุดงานทันที,Stop immediately if hand or back pain occurs.,direct,pass,not_applicable,pending_human_review,pending_human_review,pending_human_review,pending_human_review,,pending,,,1,app_recommendations_v3,2
act_harvest_ref_low.01,act_harvest_ref_low,recommendation,เปลี่ยนท่า ยืน-นั่งยอง ทุก 20 นาที,Alternate between standing and squatting every 20 minutes.,direct,pass,pass,pending_human_review,pending_human_review,pending_human_review,pending_human_review,,pending,,,1,app_recommendations_v3,2
act_harvest_ref_low.02,act_harvest_ref_low,recommendation,ใช้ถุงมือนุ่ม และตั้งตะกร้าบนแท่นสูง,Use soft gloves and place the basket on a raised stand.,direct,pass,not_applicable,pending_human_review,pending_human_review,pending_human_review,pending_human_review,,pending,,,1,app_recommendations_v3,2
act_harvest_ref_medium.01,act_harvest_ref_medium,recommendation,ใช้ถุงมือลดแรงกด,Use padded gloves.,direct,pass,not_applicable,pending_human_review,pending_human_review,pending_human_review,pending_human_review,,pending,,,1,app_recommendations_v3,2
act_harvest_ref_medium.02,act_harvest_ref_medium,recommendation,ลดการก้มโดยปรับความสูงตะกร้า,Reduce bending by raising the basket.,direct,pass,not_applicable,pending_human_review,pending_human_review,pending_human_review,pending_human_review,,pending,,,1,app_recommendations_v3,2
act_harvest_ref_medium.03,act_harvest_ref_medium,recommendation,พัก 5 นาทีทุก 30 นาที,Rest 5 minutes every 30 minutes.,direct,pass,pass,pending_human_review,pending_human_review,pending_human_review,pending_human_review,,pending,,,1,app_recommendations_v3,2
act_harvest_ref_medium.04,act_harvest_ref_medium,recommendation,สังเกตอาการชาที่มือ,Watch for hand numbness.,direct,pass,not_applicable,pending_human_review,pending_human_review,pending_human_review,pending_human_review,,pending,,,1,app_recommendations_v3,2
act_iso_floor_level.01,act_iso_floor_level,recommendation,จัดพื้นทางเดินให้เรียบ แห้ง ไม่ลื่น และไม่มีสิ่งกีดขวาง,"Keep the transport surface level, dry, non-slip, and clear of obstacles.",direct,pass,not_applicable,pending_human_review,pending_human_review,pending_human_review,pending_human_review,,pending,,,1,ilo_ergonomic_checkpoints_agriculture,"29,31"
act_iso_improve_grip.01,act_iso_improve_grip,recommendation,ใช้ภาชนะหรือด้ามจับที่จับได้ถนัดและมั่นคง,Use containers or handles that are easy to grip securely.,direct,pass,not_applicable,pending_human_review,pending_human_review,pending_human_review,pending_human_review,,pending,,,1,ilo_ergonomic_checkpoints_agriculture,79
act_iso_job_rotation.01,act_iso_job_rotation,recommendation,สลับงานเพื่อลดการใช้กล้ามเนื้อกลุ่มเดิมต่อเนื่องนานเกินไป,Rotate tasks so the same muscles are not used continuously.,direct,pass,not_applicable,pending_human_review,pending_human_review,pending_human_review,pending_human_review,,pending,,,1,ilo_ergonomic_checkpoints_agriculture,229
act_iso_keep_load_close.01,act_iso_keep_load_close,recommendation,วางของให้ชิดลำตัวก่อนยกหรือขนย้าย,Keep the load close to the body before lifting or carrying.,direct,pass,not_applicable,pending_human_review,pending_human_review,pending_human_review,pending_human_review,,pending,,,1,ilo_ergonomic_checkpoints_agriculture,51
act_iso_lift_height.01,act_iso_lift_height,recommendation,จัดของให้อยู่ระดับประมาณข้อนิ้วถึงข้อศอกก่อนยก,Place the load around knuckle-to-elbow height before lifting.,direct,pass,not_applicable,pending_human_review,pending_human_review,pending_human_review,pending_human_review,,pending,,,1,app_recommendations_v3,4
act_iso_neutral_reach.01,act_iso_neutral_reach,recommendation,ทำงานใกล้ลำตัว,Keep hands near the body.,direct,pass,not_applicable,pending_human_review,pending_human_review,pending_human_review,pending_human_review,,pending,,,1,ilo_ergonomic_checkpoints_agriculture,"51,65"
act_iso_neutral_reach.02,act_iso_neutral_reach,recommendation,ลดการเอื้อมไกลหรือขยับข้อไปสุดช่วง,Avoid extreme reach or joint positions.,direct,pass,not_applicable,pending_human_review,pending_human_review,pending_human_review,pending_human_review,,pending,,,1,ilo_ergonomic_checkpoints_agriculture,"51,65"
act_iso_plan_recovery.01,act_iso_plan_recovery,recommendation,วางแผนพักสั้น ๆ หรือสลับงานเมื่อต้องทำซ้ำหลายรอบ,Plan short recovery breaks or rotate tasks during repeated work.,direct,pass,not_applicable,pending_human_review,pending_human_review,pending_human_review,pending_human_review,,pending,,,1,ilo_ergonomic_checkpoints_agriculture,243
act_iso_push_handle_height.01,act_iso_push_handle_height,recommendation,ปรับด้ามจับให้อยู่ใกล้ระดับข้อศอก เพื่อใช้แรงได้มั่นคง,Adjust handles near elbow height so the body can push steadily.,direct,pass,not_applicable,pending_human_review,pending_human_review,pending_human_review,pending_human_review,,pending,,,1,ilo_ergonomic_checkpoints_agriculture,63
