recommendation_id,selection_key,display_order,record_type,category,activity,body_part,risk_level,trigger_condition,thai_source_text,source_id,source_page,source_section,source_priority,catalog_version,record_status,legacy_text_th,legacy_text_en
act_body_wrists_medium.01,act_body_wrists_medium,1,recommendation,posture,any,wrists,medium,body_part_risk_matches,ใช้ด้ามจับที่พอดีมือ,body_map_recommendations,5,act_body_wrists_medium,1,2026-07-29.1,source_verified,ใช้ด้ามจับที่พอดีมือ คลายมือเป็นระยะ พักข้อมือทุก 30 นาที และยืดเหยียดนิ้วมือกับข้อมือระหว่างพัก,"Use handles that fit the hand, relax the grip regularly, rest wrists every 30 minutes, and stretch fingers and wrists during breaks."
act_body_wrists_medium.02,act_body_wrists_medium,2,recommendation,posture,any,wrists,medium,body_part_risk_matches,คลายมือเป็นระยะ,body_map_recommendations,5,act_body_wrists_medium,1,2026-07-29.1,source_verified,,
act_body_wrists_medium.03,act_body_wrists_medium,3,recommendation,posture,any,wrists,medium,body_part_risk_matches,พักข้อมือทุก 30 นาที และยืดเหยียดนิ้วมือกับข้อมือระหว่างพัก,body_map_recommendations,5,act_body_wrists_medium,1,2026-07-29.1,source_verified,,
act_body_wrists_very_high.01,act_body_wrists_very_high,1,recommendation,posture,any,wrists,very_high,body_part_risk_matches,พักข้อมือ 3-5 นาทีทุก 15 นาที,body_map_recommendations,6,act_body_wrists_very_high,1,2026-07-29.1,source_verified,พักข้อมือ 3-5 นาทีทุก 15 นาที เปลี่ยนเครื่องมือให้พอดีกับมือ และใช้อุปกรณ์ช่วยลดแรงกำหรือแรงบีบที่ไม่จำเป็น,"Rest wrists 3-5 minutes every 15 minutes, change to better-fitting tools, and use aids that reduce unnecessary gripping or squeezing force."
act_body_wrists_very_high.02,act_body_wrists_very_high,2,recommendation,posture,any,wrists,very_high,body_part_risk_matches,เปลี่ยนเครื่องมือให้พอดีกับมือ,body_map_recommendations,6,act_body_wrists_very_high,1,2026-07-29.1,source_verified,,
act_body_wrists_very_high.03,act_body_wrists_very_high,3,recommendation,posture,any,wrists,very_high,body_part_risk_matches,ใช้อุปกรณ์ช่วยลดแรงกำหรือแรงบีบที่ไม่จำเป็น,body_map_recommendations,6,act_body_wrists_very_high,1,2026-07-29.1,source_verified,,
act_check_wheels.01,act_check_wheels,1,recommendation,workloadSupport,any,any,any,selection_key_selected,ตรวจสอบล้อรถเข็นว่าฝืดหรือไม่,ilo_ergonomic_checkpoints_agriculture,37,Checkpoint 5,3,2026-07-29.1,source_verified,ตรวจสอบล้อรถเข็นว่าฝืดหรือไม่,Check cart wheels for friction
act_extra_fert_cart.01,act_extra_fert_cart,1,recommendation,workloadSupport,any,any,any,selection_key_selected,ใช้รถเข็นบรรทุกกระสอบปุ๋ยแทนการแบก,app_recommendations_v3,2,Fertilizing,2,2026-07-29.1,source_verified,ใช้รถเข็นบรรทุกกระสอบปุ๋ยแทนการแบก,Use cart instead of carrying sacks
act_extra_prune_ladder.01,act_extra_prune_ladder,1,recommendation,workloadSupport,any,any,any,selection_key_selected,ใช้บันไดที่มั่นคงแทนการเอื้อมสุดแขน,app_recommendations_v3,2,Pruning,2,2026-07-29.1,source_verified,ใช้บันไดที่มั่นคงแทนการเอื้อมสุดแขน,Use stable ladder instead of reaching
act_extra_prune_tool.01,act_extra_prune_tool,1,recommendation,workloadSupport,any,any,any,selection_key_selected,ใช้กรรไกรตัดกิ่งด้ามยาว,app_recommendations_v3,2,Pruning,2,2026-07-29.1,source_verified,ใช้กรรไกรตัดกิ่งด้ามยาว,Use long-handled pruning shears
act_extra_spray_strap.01,act_extra_spray_strap,1,recommendation,workloadSupport,any,any,any,selection_key_selected,ปรับสายสะพายเครื่องพ่นยาให้กระชับ,app_recommendations_v3,2,Pesticide spraying,2,2026-07-29.1,source_verified,ปรับสายสะพายเครื่องพ่นยาให้กระชับ,Adjust sprayer straps tightly
act_extra_spray_switch.01,act_extra_spray_switch,1,recommendation,posture,any,any,any,selection_key_selected,สลับข้างสะพายถังเพื่อลดการกดทับไหล่เดียว,app_recommendations_v3,2,Pesticide spraying,2,2026-07-29.1,source_verified,สลับข้างสะพายถังเพื่อลดการกดทับไหล่เดียว,Switch shoulders to balance load
act_fert_ref_high.01,act_fert_ref_high,1,recommendation,riskReduction,fertilizing,any,high,activity_and_overall_risk_match,ลดน้ำหนักปุ๋ยต่อครั้ง,app_recommendations_v3,2,act_fert_ref_high,2,2026-07-29.1,source_verified,ลดน้ำหนักปุ๋ยต่อครั้ง ใช้สายพานหรือรถเข็น จัดพัก 10 นาทีทุกชั่วโมง และหลีกเลี่ยงการทำงานบนพื้นที่ลาดชันต่อเนื่อง,"Reduce fertilizer weight per trip, use a conveyor or cart, rest 10 minutes every hour, and avoid continuous work on slopes."
act_fert_ref_high.02,act_fert_ref_high,2,recommendation,riskReduction,fertilizing,any,high,activity_and_overall_risk_match,ใช้สายพานหรือรถเข็น,app_recommendations_v3,2,act_fert_ref_high,2,2026-07-29.1,source_verified,,
act_fert_ref_high.03,act_fert_ref_high,3,recommendation,riskReduction,fertilizing,any,high,activity_and_overall_risk_match,จัดพัก 10 นาทีทุกชั่วโมง,app_recommendations_v3,2,act_fert_ref_high,2,2026-07-29.1,source_verified,,
act_fert_ref_high.04,act_fert_ref_high,4,recommendation,riskReduction,fertilizing,any,high,activity_and_overall_risk_match,หลีกเลี่ยงการทำงานบนพื้นที่ลาดชันต่อเนื่อง,app_recommendations_v3,2,act_fert_ref_high,2,2026-07-29.1,source_verified,,
act_fert_ref_low.01,act_fert_ref_low,1,recommendation,riskReduction,fertilizing,any,low,activity_and_overall_risk_match,ใช้รถเข็นถ้าต้องเคลื่อนย้ายปุ๋ยไกล และหมั่นเปลี่ยนท่าทางทุก 30 นาที,app_recommendations_v3,2,act_fert_ref_low,2,2026-07-29.1,source_verified,ใช้รถเข็นถ้าต้องเคลื่อนย้ายปุ๋ยไกล และหมั่นเปลี่ยนท่าทางทุก 30 นาที,"Use a cart when fertilizer must be moved far, and change posture every 30 minutes."
act_fert_ref_medium.01,act_fert_ref_medium,1,recommendation,riskReduction,fertilizing,any,medium,activity_and_overall_risk_match,แบ่งปุ๋ยใส่ภาชนะเล็ก,app_recommendations_v3,2,act_fert_ref_medium,2,2026-07-29.1,source_verified,แบ่งปุ๋ยใส่ภาชนะเล็ก ใช้รถเข็น หลีกเลี่ยงการบิดตัวขณะยก และใส่รองเท้ากันลื่น,"Split fertilizer into smaller containers, use a cart, avoid twisting while lifting, and wear non-slip footwear."
act_fert_ref_medium.02,act_fert_ref_medium,2,recommendation,riskReduction,fertilizing,any,medium,activity_and_overall_risk_match,ใช้รถเข็น,app_recommendations_v3,2,act_fert_ref_medium,2,2026-07-29.1,source_verified,,
act_fert_ref_medium.03,act_fert_ref_medium,3,recommendation,riskReduction,fertilizing,any,medium,activity_and_overall_risk_match,หลีกเลี่ยงการบิดตัวขณะยก และใส่รองเท้ากันลื่น,app_recommendations_v3,2,act_fert_ref_medium,2,2026-07-29.1,source_verified,,
act_fert_split_load.01,act_fert_split_load,1,recommendation,posture,any,any,any,selection_key_selected,แบ่งปุ๋ยเป็นน้ำหนักน้อยลงในแต่ละรอบ,app_recommendations_v3,2,Fertilizing,2,2026-07-29.1,source_verified,แบ่งปุ๋ยเป็นน้ำหนักน้อยลงในแต่ละรอบ,Split fertilizer into smaller loads per round
act_harvest_empty_often.01,act_harvest_empty_often,1,recommendation,posture,any,any,any,selection_key_selected,ลดการก้มโดยปรับความสูงตะกร้า,app_recommendations_v3,2,Harvesting,2,2026-07-29.1,source_verified,เทผลผลิตออกจากตะกร้าให้บ่อยขึ้น เพื่อลดน้ำหนักสะสม,Empty the basket more often to reduce accumulated carrying load
act_harvest_move_closer.01,act_harvest_move_closer,1,recommendation,posture,any,any,any,selection_key_selected,ขยับเข้าใกล้ต้นก่อนเก็บ เพื่อลดการเอื้อมไกล,body_map_recommendations,4,Reach distance,1,2026-07-29.1,source_verified,ขยับเข้าใกล้ต้นก่อนเก็บ เพื่อลดการเอื้อมไกล,Move closer to the plant before picking instead of overreaching
act_harvest_ref_high.01,act_harvest_ref_high,1,recommendation,riskReduction,harvesting,any,high,activity_and_overall_risk_match,ถ้าเก็บผลจากกิ่งสูงต้องใช้บันได,app_recommendations_v3,2,act_harvest_ref_high,2,2026-07-29.1,source_verified,ถ้าเก็บผลจากกิ่งสูงต้องใช้บันได หลีกเลี่ยงการปีน หยุดพัก 10 นาทีทุก 20 นาที และถ้ามีอาการปวดมือหรือหลังให้หยุดงานทันที,"Use a ladder for high branches, avoid climbing, rest 10 minutes every 20 minutes, and stop immediately if hand or back pain occurs."
